code	diisplay	definition
1579-2	Absentee Shawnee	Absentee Shawnee
1580-0	Eastern Shawnee	Eastern Shawnee
1587-5	Battle Mountain	Battle Mountain
1588-3	Duckwater	Duckwater
1589-1	Elko	Elko
1590-9	Ely	Ely
1591-7	Goshute	Goshute
1592-5	Panamint	Panamint
1593-3	Ruby Valley	Ruby Valley
1594-1	Skull Valley	Skull Valley
1595-8	South Fork Shoshone	South Fork Shoshone
1596-6	Te-Moak Western Shoshone	Te-Moak Western Shoshone
1597-4	Timbi-Sha Shoshone	Timbi-Sha Shoshone
1598-2	Washakie	Washakie
1599-0	Wind River Shoshone	Wind River Shoshone
1600-6	Yomba	Yomba
1603-0	Duck Valley	Duck Valley
1604-8	Fallon	Fallon
1605-5	Fort McDermitt	Fort McDermitt
1610-5	Blackfoot Sioux	Blackfoot Sioux
1611-3	Brule Sioux	Brule Sioux
1612-1	Cheyenne River Sioux	Cheyenne River Sioux
1613-9	Crow Creek Sioux	Crow Creek Sioux
1614-7	Dakota Sioux	Dakota Sioux
1615-4	Flandreau Santee	Flandreau Santee
1616-2	Fort Peck	Fort Peck
1617-0	Lake Traverse Sioux	Lake Traverse Sioux
1618-8	Lower Brule Sioux	Lower Brule Sioux
1619-6	Lower Sioux	Lower Sioux
1620-4	Mdewakanton Sioux	Mdewakanton Sioux
1621-2	Miniconjou	Miniconjou
1622-0	Oglala Sioux	Oglala Sioux
1623-8	Pine Ridge Sioux	Pine Ridge Sioux
1624-6	Pipestone Sioux	Pipestone Sioux
1625-3	Prairie Island Sioux	Prairie Island Sioux
1626-1	Prior Lake Sioux	Prior Lake Sioux
1627-9	Rosebud Sioux	Rosebud Sioux
1628-7	Sans Arc Sioux	Sans Arc Sioux
1629-5	Santee Sioux	Santee Sioux
1630-3	Sisseton-Wahpeton	Sisseton-Wahpeton
1631-1	Sisseton Sioux	Sisseton Sioux
1632-9	Spirit Lake Sioux	Spirit Lake Sioux
1633-7	Standing Rock Sioux	Standing Rock Sioux
1634-5	Teton Sioux	Teton Sioux
1635-2	Two Kettle Sioux	Two Kettle Sioux
1636-0	Upper Sioux	Upper Sioux
1637-8	Wahpekute Sioux	Wahpekute Sioux
1638-6	Wahpeton Sioux	Wahpeton Sioux
1639-4	Wazhaza Sioux	Wazhaza Sioux
1640-2	Yankton Sioux	Yankton Sioux
1641-0	Yanktonai Sioux	Yanktonai Sioux
1654-3	Ak-Chin	Ak-Chin
1655-0	Gila Bend	Gila Bend
1656-8	San Xavier	San Xavier
1657-6	Sells	Sells
1668-3	Cow Creek Umpqua	Cow Creek Umpqua
1671-7	Allen Canyon	Allen Canyon
1672-5	Uintah Ute	Uintah Ute
1673-3	Ute Mountain Ute	Ute Mountain Ute
1680-8	Gay Head Wampanoag	Gay Head Wampanoag
1681-6	Mashpee Wampanoag	Mashpee Wampanoag
1688-1	Alpine	Alpine
1689-9	Carson	Carson
1690-7	Dresslerville	Dresslerville
1697-2	Ho-chunk	Ho-chunk
1698-0	Nebraska Winnebago	Nebraska Winnebago
1705-3	Table Bluff	Table Bluff
1712-9	Barrio Libre	Barrio Libre
1713-7	Pascua Yaqui	Pascua Yaqui
1718-6	Chukchansi	Chukchansi
1719-4	Tachi	Tachi
1720-2	Tule River	Tule River
1725-1	Cocopah	Cocopah
1726-9	Havasupai	Havasupai
1727-7	Hualapai	Hualapai
1728-5	Maricopa	Maricopa
1729-3	Mohave	Mohave
1730-1	Quechan	Quechan
1731-9	Yavapai	Yavapai
1733-5	Coast Yurok	Coast Yurok
1737-6	Alaska Indian	Alaska Indian
1840-8	Eskimo	Eskimo
1966-1	Aleut	Aleut
1739-2	Alaskan Athabascan	Alaskan Athabascan
1811-9	Southeast Alaska	Southeast Alaska
1740-0	Ahtna	Ahtna
1741-8	Alatna	Alatna
1742-6	Alexander	Alexander
1743-4	Allakaket	Allakaket
1744-2	Alanvik	Alanvik
1745-9	Anvik	Anvik
1746-7	Arctic	Arctic
1747-5	Beaver	Beaver
1748-3	Birch Creek	Birch Creek
1749-1	Cantwell	Cantwell
1750-9	Chalkyitsik	Chalkyitsik
1751-7	Chickaloon	Chickaloon
1752-5	Chistochina	Chistochina
1753-3	Chitina	Chitina
1754-1	Circle	Circle
1755-8	Cook Inlet	Cook Inlet
1756-6	Copper Center	Copper Center
1757-4	Copper River	Copper River
1758-2	Dot Lake	Dot Lake
1759-0	Doyon	Doyon
1760-8	Eagle	Eagle
1761-6	Eklutna	Eklutna
1762-4	Evansville	Evansville
1763-2	Fort Yukon	Fort Yukon
1764-0	Gakona	Gakona
1765-7	Galena	Galena
1766-5	Grayling	Grayling
1767-3	Gulkana	Gulkana
1768-1	Healy Lake	Healy Lake
1769-9	Holy Cross	Holy Cross
1770-7	Hughes	Hughes
1771-5	Huslia	Huslia
1772-3	Iliamna	Iliamna
1773-1	Kaltag	Kaltag
1774-9	Kluti Kaah	Kluti Kaah
1775-6	Knik	Knik
1776-4	Koyukuk	Koyukuk
1777-2	Lake Minchumina	Lake Minchumina
1778-0	Lime	Lime
1779-8	Mcgrath	Mcgrath
1780-6	Manley Hot Springs	Manley Hot Springs
1781-4	Mentasta Lake	Mentasta Lake
1782-2	Minto	Minto
1783-0	Nenana	Nenana
